"Date","Price","Open","High","Low","Vol.","Change %"
"2023-01-03","101.46","102.20","102.34","100.84","25.31M","1.91%"
"2022-12-30","99.56","99.87","100.55","99.37","20.81M","-1.11%"
"2022-12-29","100.68","99.86","100.99","99.79","16.59M","1.14%"
"2022-12-28","99.55","100.65","100.78","99.35","17.30M","-0.59%"
"2022-12-27","100.14","100.49","101.07","100.01","26.48M","-1.98%"
"2022-12-23","102.16","102.58","102.81","102.02","15.41M","-1.47%"
"2022-12-22","103.68","103.67","104.12","103.38","11.32M","-0.02%"
"2022-12-21","103.70","104.29","104.40","102.96","15.89M","0.25%"
"2022-12-20","103.44","103.38","103.81","103.10","28.87M","-1.78%"
"2022-12-19","105.31","105.83","105.84","104.98","26.13M","-1.68%"
"2022-12-16","107.11","106.60","107.83","106.31","20.84M","-1.12%"
"2022-12-15","108.32","108.39","109.12","108.16","20.26M","0.15%"
"2022-12-14","108.16","107.66","108.32","106.89","19.52M","0.43%"
"2022-12-13","107.70","109.04","109.08","107.46","23.85M","0.97%"
"2022-12-12","106.67","107.86","108.11","106.26","16.90M","0.32%"
"2022-12-09","106.33","107.94","108.17","106.27","25.87M","-2.60%"
"2022-12-08","109.17","108.70","109.45","108.47","13.38M","-0.27%"
"2022-12-07","109.47","108.37","109.68","108.20","30.55M","2.36%"
"2022-12-06","106.95","106.50","107.39","106.19","21.75M","1.29%"
"2022-12-05","105.59","105.84","105.99","104.90","20.16M","-1.40%"
"2022-12-02","107.09","105.30","107.10","104.61","24.48M","1.26%"
"2022-12-01","105.76","103.15","105.81","103.10","53.16M","2.95%"
"2022-11-30","102.73","101.61","102.73","101.37","21.58M","0.74%"
"2022-11-29","101.98","102.15","102.96","101.91","16.58M","-1.17%"
"2022-11-28","103.19","103.61","103.81","102.68","14.57M","0.28%"
"2022-11-25","102.90","102.61","102.93","102.43","9.49M","-0.34%"
"2022-11-23","103.25","102.14","103.25","102.08","23.23M","1.74%"
"2022-11-22","101.48","100.65","101.62","100.53","18.10M","1.42%"
"2022-11-21","100.06","100.69","100.82","99.80","15.53M","0.42%"
"2022-11-18","99.64","100.60","100.89","99.54","14.94M","-0.69%"
"2022-11-17","100.33","100.20","100.57","99.78","24.54M","-1.06%"
"2022-11-16","101.40","100.02","101.45","99.74","28.51M","2.19%"
"2022-11-15","99.23","98.25","99.30","98.11","26.61M","1.62%"
"2022-11-14","97.65","97.91","97.99","97.09","13.71M","-0.25%"
"2022-11-11","97.89","97.57","98.37","97.54","15.94M","-0.37%"
"2022-11-10","98.25","96.72","98.43","96.64","45.38M","3.85%"
"2022-11-09","94.61","93.82","95.02","93.69","15.64M","0.33%"
"2022-11-08","94.30","93.80","94.96","93.77","20.36M","1.09%"
"2022-11-07","93.28","94.80","94.86","93.24","14.52M","-1.00%"
"2022-11-04","94.22","95.10","95.65","94.22","23.56M","-1.68%"
"2022-11-03","95.83","95.17","96.38","95.09","29.10M","-0.54%"
"2022-11-02","96.35","96.91","97.63","95.96","25.01M","-0.43%"
"2022-11-01","96.77","97.38","97.42","96.21","17.59M","0.69%"
"2022-10-31","96.11","96.36","96.62","95.03","23.96M","-0.71%"
"2022-10-28","96.80","96.86","97.63","96.41","22.24M","-0.69%"
"2022-10-27","97.47","96.98","97.90","96.21","20.27M","1.05%"
"2022-10-26","96.46","95.77","96.69","95.76","24.85M","1.44%"
"2022-10-25","95.09","94.58","95.22","94.44","31.21M","2.91%"
"2022-10-24","92.40","92.82","93.55","91.85","31.33M","-0.83%"
"2022-10-21","93.17","93.02","93.93","92.26","46.28M","-1.80%"
"2022-10-20","94.88","95.93","96.33","94.74","25.43M","-1.71%"
"2022-10-19","96.53","97.19","97.42","96.32","25.43M","-1.82%"
"2022-10-18","98.32","97.95","98.46","96.87","16.93M","0.23%"
"2022-10-17","98.09","99.29","99.66","97.94","18.97M","-0.49%"
"2022-10-14","98.57","100.19","100.19","98.25","18.73M","-0.83%"
"2022-10-13","99.39","98.36","100.38","98.34","30.29M","-0.96%"
"2022-10-12","100.35","99.28","100.54","99.19","21.45M","0.49%"
"2022-10-11","99.86","99.74","100.90","98.99","33.25M","0.44%"
"2022-10-10","99.42","100.50","100.51","98.79","15.65M","-1.55%"
"2022-10-07","100.99","100.81","101.62","100.47","14.81M","-0.97%"
"2022-10-06","101.98","102.59","102.84","101.53","13.97M","-0.56%"
"2022-10-05","102.55","102.73","102.84","101.58","20.52M","-0.96%"
"2022-10-04","103.54","104.15","104.65","103.30","13.79M","-0.28%"
"2022-10-03","103.83","103.85","104.68","103.15","27.19M","1.35%"
"2022-09-30","102.45","104.27","104.86","102.22","26.49M","-1.29%"
"2022-09-29","103.79","102.90","104.22","102.80","19.13M","-0.52%"
"2022-09-28","104.33","103.13","104.45","102.48","39.28M","3.35%"
"2022-09-27","100.95","102.71","102.98","100.90","34.61M","-2.63%"
"2022-09-26","103.68","105.36","105.41","103.22","25.10M","-1.91%"
"2022-09-23","105.70","105.34","106.43","104.56","23.04M","0.41%"
"2022-09-22","105.27","105.79","105.96","104.73","29.03M","-2.55%"
"2022-09-21","108.03","106.70","108.04","105.97","23.13M","1.68%"
"2022-09-20","106.25","105.69","106.84","105.40","20.13M","-1.00%"
"2022-09-19","107.32","106.96","107.82","106.80","11.08M","0.23%"
"2022-09-16","107.07","107.03","108.05","106.76","18.90M","-0.83%"
"2022-09-15","107.97","107.85","108.19","107.58","10.26M","-0.06%"
"2022-09-14","108.04","107.34","108.21","107.11","13.08M","0.34%"
"2022-09-13","107.67","106.56","107.74","106.24","22.16M","0.23%"
"2022-09-12","107.42","108.63","108.89","106.92","14.81M","-0.82%"
"2022-09-09","108.31","108.33","108.79","107.63","12.53M","0.22%"
"2022-09-08","108.07","108.84","109.52","108.05","14.67M","-1.03%"
"2022-09-07","109.19","108.32","109.48","108.21","17.05M","1.58%"
"2022-09-06","107.49","108.90","108.97","107.42","24.65M","-2.48%"
"2022-09-02","110.22","109.68","110.56","109.47","13.02M","0.57%"
"2022-09-01","109.60","109.87","110.25","108.94","22.49M","-2.04%"
"2022-08-31","111.88","112.69","113.34","111.57","13.62M","-0.96%"
"2022-08-30","112.96","112.62","113.51","112.21","14.35M","0.25%"
"2022-08-29","112.68","112.94","113.01","112.13","14.28M","-0.83%"
"2022-08-26","113.62","112.30","113.99","112.01","18.76M","0.75%"
"2022-08-25","112.77","111.32","113.09","110.99","21.43M","1.39%"
"2022-08-24","111.22","111.49","111.87","110.86","13.97M","-0.73%"
"2022-08-23","112.04","112.19","113.48","111.74","17.81M","-0.55%"
"2022-08-22","112.66","112.86","112.96","112.13","10.46M","-0.34%"
"2022-08-19","113.04","113.23","113.33","112.74","16.33M","-1.61%"
"2022-08-18","114.89","114.97","115.64","114.58","10.74M","0.15%"
"2022-08-17","114.72","115.06","115.10","114.31","14.13M","-1.04%"
"2022-08-16","115.93","115.25","116.02","114.24","11.07M","0.42%"
"2022-08-15","115.45","116.33","116.75","115.45","9.03M","-0.09%"
"2022-08-12","115.55","115.10","115.57","114.43","12.18M","1.01%"
"2022-08-11","114.39","116.87","117.06","114.09","20.66M","-2.33%"
"2022-08-10","117.12","117.73","118.91","116.73","14.67M","-0.65%"
"2022-08-09","117.89","117.73","118.36","117.46","8.22M","-0.39%"
"2022-08-08","118.35","117.64","118.53","117.56","17.48M","1.61%"
"2022-08-05","116.47","117.07","117.11","115.89","19.49M","-2.38%"
"2022-08-04","119.31","118.98","119.55","118.54","11.00M","-0.03%"
"2022-08-03","119.35","117.17","119.49","116.33","16.73M","1.57%"
"2022-08-02","117.50","120.15","120.69","117.29","17.90M","-2.12%"
"2022-08-01","120.04","118.25","120.10","118.08","17.97M","2.22%"
"2022-07-29","117.43","117.70","119.31","117.33","16.66M","-0.27%"
"2022-07-28","117.75","118.04","118.92","117.32","16.64M","0.80%"
"2022-07-27","116.82","118.01","118.49","116.71","15.73M","-0.56%"
"2022-07-26","117.48","118.86","119.24","117.39","13.54M","0.08%"
"2022-07-25","117.39","116.71","117.54","116.47","24.87M","-0.98%"
"2022-07-22","118.55","118.29","119.27","117.97","17.72M","1.68%"
"2022-07-21","116.59","115.19","116.72","115.01","14.75M","1.73%"
"2022-07-20","114.61","115.48","115.55","114.05","9.12M","0.26%"
"2022-07-19","114.31","114.91","115.15","113.66","9.28M","-0.54%"
"2022-07-18","114.93","115.25","115.32","114.18","15.84M","-1.04%"
"2022-07-15","116.14","115.84","116.82","115.60","16.02M","0.56%"
"2022-07-14","115.49","115.08","116.16","114.47","15.66M","-0.82%"
"2022-07-13","116.44","113.77","116.65","113.45","20.59M","1.15%"
"2022-07-12","115.12","115.51","116.23","114.97","18.55M","0.59%"
"2022-07-11","114.44","113.79","114.79","113.70","13.64M","1.72%"
"2022-07-08","112.50","113.50","113.50","112.05","15.32M","-1.11%"
"2022-07-07","113.76","115.10","115.17","113.51","13.09M","-0.88%"
"2022-07-06","114.77","117.39","117.54","114.77","20.21M","-1.68%"
"2022-07-05","116.73","116.89","117.75","116.17","16.69M","0.79%"
"2022-07-01","115.82","115.90","117.59","115.22","21.86M","0.83%"
"2022-06-30","114.87","114.86","115.77","114.75","25.80M","0.88%"
"2022-06-29","113.87","112.38","113.90","112.17","12.93M","1.56%"
"2022-06-28","112.12","111.29","112.18","110.87","13.71M","0.47%"
"2022-06-27","111.60","111.22","112.22","111.16","12.05M","-0.85%"
"2022-06-24","112.56","113.46","114.17","112.50","18.16M","-1.38%"
"2022-06-23","114.14","113.90","115.17","113.49","20.67M","0.82%"
"2022-06-22","113.21","112.69","113.31","112.38","23.70M","2.75%"
"2022-06-21","110.18","110.09","111.01","109.81","17.66M","-1.70%"
"2022-06-17","112.08","112.01","112.83","110.96","21.61M","0.32%"
"2022-06-16","111.72","108.45","111.72","108.11","26.07M","0.79%"
"2022-06-15","110.84","110.08","110.99","109.03","25.20M","1.87%"
"2022-06-14","108.81","110.53","110.98","108.59","21.87M","-1.26%"
"2022-06-13","110.20","111.49","111.67","109.24","36.97M","-3.14%"
"2022-06-10","113.77","114.36","114.61","112.96","21.92M","-0.62%"
"2022-06-09","114.48","113.83","114.71","113.68","15.53M","0.33%"
"2022-06-08","114.10","114.68","115.13","114.08","11.48M","-0.89%"
"2022-06-07","115.12","114.61","115.78","114.58","14.28M","1.08%"
"2022-06-06","113.89","115.15","115.51","113.81","20.82M","-1.84%"
