"Date","Price","Open","High","Low","Vol.","Change %"
"2026-07-22","379.12","379.07","382.22","378.83","7.12M","1.15%"
"2026-07-21","374.81","371.70","375.01","371.07","6.07M","1.96%"
"2026-07-20","367.60","367.79","368.79","366.80","3.92M","-0.22%"
"2026-07-17","368.41","364.11","369.21","363.60","6.46M","0.95%"
"2026-07-16","364.96","367.45","368.43","364.05","9.05M","-1.98%"
"2026-07-15","372.35","372.11","374.49","369.50","7.68M","0.05%"
"2026-07-14","372.15","374.53","376.28","370.92","6.30M","1.37%"
"2026-07-13","367.13","372.77","372.89","365.77","7.16M","-2.62%"
"2026-07-10","377.01","375.00","377.55","373.70","5.46M","-0.31%"
"2026-07-09","378.18","378.51","379.65","377.41","4.75M","1.00%"
"2026-07-08","374.45","373.17","375.47","368.95","7.73M","-0.81%"
"2026-07-07","377.49","382.39","383.60","375.52","4.82M","-1.21%"
"2026-07-06","382.13","380.21","382.43","378.83","3.91M","1.06%"
"2026-07-02","378.13","377.43","380.27","376.29","7.61M","2.03%"
"2026-07-01","370.60","371.20","377.78","370.21","9.06M","0.60%"
"2026-06-30","368.38","369.22","372.83","368.26","5.30M","-0.05%"
"2026-06-29","368.58","370.58","371.19","366.97","5.01M","-1.35%"
"2026-06-26","373.63","372.27","375.85","371.18","5.60M","1.13%"
"2026-06-25","369.46","368.99","371.04","366.80","9.16M","0.97%"
"2026-06-24","365.92","364.81","370.90","363.32","12.74M","-3.02%"
"2026-06-23","377.32","377.72","380.35","377.17","7.39M","-1.89%"
"2026-06-22","384.59","384.25","386.41","382.64","7.84M","-0.65%"
"2026-06-18","387.12","391.24","392.50","385.60","7.63M","-0.38%"
"2026-06-17","388.60","397.82","402.04","387.08","13.34M","-2.27%"
"2026-06-16","397.63","397.83","398.96","395.82","6.00M","0.27%"
"2026-06-15","396.55","399.49","401.00","396.15","10.48M","2.59%"
"2026-06-12","386.54","385.73","388.77","383.35","7.53M","0.06%"
"2026-06-11","386.32","373.96","387.21","371.88","12.62M","3.13%"
"2026-06-10","374.58","380.75","384.21","374.55","13.96M","-4.15%"
"2026-06-09","390.78","397.57","400.48","388.75","9.57M","-1.63%"
"2026-06-08","397.27","397.52","398.98","396.03","8.06M","0.26%"
"2026-06-05","396.24","404.38","404.72","395.92","11.47M","-3.65%"
"2026-06-04","411.27","413.37","414.37","409.01","4.65M","0.83%"
"2026-06-03","407.87","408.38","409.38","406.23","5.04M","-0.99%"
"2026-06-02","411.95","414.08","414.40","411.10","3.82M","0.17%"
"2026-06-01","411.26","409.86","412.61","408.24","6.16M","-1.40%"
"2026-05-29","417.12","415.62","421.82","415.08","7.71M","1.05%"
"2026-05-28","412.77","406.48","414.51","405.41","7.18M","1.05%"
"2026-05-27","408.49","404.33","409.25","404.30","6.62M","-1.33%"
"2026-05-26","414.00","415.16","415.98","411.50","5.10M","0.04%"
"2026-05-22","413.82","415.17","415.68","412.00","5.53M","-0.76%"
"2026-05-21","416.99","413.14","418.42","411.95","4.68M","-0.10%"
"2026-05-20","417.40","412.14","417.99","410.08","6.00M","1.43%"
"2026-05-19","411.50","412.45","414.47","409.88","5.42M","-1.66%"
"2026-05-18","418.43","419.82","420.93","416.06","5.63M","0.27%"
"2026-05-15","417.29","417.64","419.25","414.12","9.36M","-2.32%"
"2026-05-14","427.21","430.30","431.54","427.10","4.02M","-0.76%"
"2026-05-13","430.50","430.52","432.49","428.75","4.18M","-0.56%"
"2026-05-12","432.93","430.70","432.98","425.85","6.66M","-0.40%"
"2026-05-11","434.65","434.18","436.04","432.21","5.57M","0.20%"
"2026-05-08","433.77","434.05","436.20","431.70","5.38M","0.48%"
"2026-05-07","431.68","435.61","437.42","430.25","6.82M","0.17%"
"2026-05-06","430.96","430.15","433.19","429.60","7.01M","3.03%"
"2026-05-05","418.27","420.15","421.16","417.90","4.28M","0.86%"
"2026-05-04","414.71","418.84","420.86","413.28","7.29M","-2.00%"
"2026-05-01","423.18","421.41","427.93","421.08","5.91M","-0.11%"
"2026-04-30","423.66","425.34","425.46","422.74","6.73M","1.50%"
"2026-04-29","417.41","416.74","419.17","414.16","6.45M","-1.07%"
"2026-04-28","421.91","420.72","422.52","418.40","7.72M","-1.86%"
"2026-04-27","429.89","431.66","431.80","428.52","6.11M","-0.78%"
"2026-04-24","433.25","431.33","435.28","430.65","5.92M","0.51%"
"2026-04-23","431.04","433.96","435.29","428.22","4.98M","-0.97%"
"2026-04-22","435.26","436.27","437.17","433.78","5.18M","1.32%"
"2026-04-21","429.57","438.55","440.24","428.71","9.48M","-2.83%"
"2026-04-20","442.09","443.13","443.42","440.05","8.47M","-0.86%"
"2026-04-17","445.93","445.65","448.70","445.32","9.71M","1.33%"
"2026-04-16","440.08","442.15","442.98","438.18","5.35M","-0.09%"
"2026-04-15","440.46","442.88","443.74","439.60","6.46M","-1.04%"
"2026-04-14","445.09","439.32","445.18","439.02","8.73M","2.23%"
"2026-04-13","435.36","434.77","436.22","431.63","5.55M","-0.40%"
"2026-04-10","437.13","438.59","440.35","436.00","6.19M","-0.18%"
"2026-04-09","437.91","436.47","440.90","435.87","6.75M","0.78%"
"2026-04-08","434.53","439.98","440.44","431.31","9.69M","0.63%"
"2026-04-07","431.81","427.89","433.43","423.10","7.26M","0.97%"
"2026-04-06","427.65","428.87","431.49","426.71","5.42M","-0.41%"
"2026-04-02","429.41","422.29","431.67","421.17","10.84M","-1.92%"
"2026-04-01","437.82","435.00","440.19","433.76","14.13M","1.75%"
"2026-03-31","430.29","420.08","430.57","419.59","14.53M","3.79%"
"2026-03-30","414.58","419.54","420.10","412.66","13.17M","-0.03%"
"2026-03-27","414.70","406.20","418.40","405.41","16.58M","3.51%"
"2026-03-26","400.64","408.53","411.37","400.26","15.76M","-3.76%"
"2026-03-25","416.29","419.70","420.66","412.25","15.71M","3.01%"
"2026-03-24","404.13","400.24","407.29","399.20","17.48M","0.02%"
"2026-03-23","404.04","405.12","414.54","399.64","36.80M","-2.26%"
"2026-03-20","413.38","428.09","428.59","411.23","27.20M","-3.06%"
"2026-03-19","426.41","420.36","428.27","416.80","30.21M","-4.12%"
"2026-03-18","444.74","446.66","450.06","444.39","18.38M","-3.16%"
"2026-03-17","459.27","460.51","462.21","456.87","7.61M","-0.25%"
"2026-03-16","460.43","461.27","462.80","456.90","8.96M","-0.09%"
"2026-03-13","460.84","469.31","470.10","460.22","11.74M","-1.29%"
"2026-03-12","466.88","475.02","475.02","466.60","11.90M","-1.97%"
"2026-03-11","476.24","476.13","477.45","473.13","7.52M","-0.34%"
"2026-03-10","477.86","479.74","481.31","474.21","9.62M","1.13%"
"2026-03-09","472.53","468.09","472.68","464.79","8.83M","-0.21%"
"2026-03-06","473.51","469.04","475.46","467.07","10.49M","1.58%"
"2026-03-05","466.13","470.45","470.67","463.91","11.67M","-1.20%"
"2026-03-04","471.80","474.82","476.42","469.39","9.99M","0.78%"
"2026-03-03","468.14","472.83","473.20","458.93","22.59M","-4.46%"
"2026-03-02","490.00","490.10","492.15","483.28","19.92M","1.29%"
"2026-02-27","483.75","480.75","483.90","479.11","16.80M","1.31%"
"2026-02-26","477.48","474.95","477.83","442.04","12.38M","0.86%"
"2026-02-25","473.42","475.74","479.53","472.90","12.95M","-0.25%"
"2026-02-24","474.61","470.08","475.44","469.55","14.15M","-1.39%"
"2026-02-23","481.28","474.65","481.46","474.61","17.44M","2.70%"
"2026-02-20","468.62","463.25","468.62","458.34","14.32M","1.97%"
"2026-02-19","459.56","457.34","461.51","456.03","8.41M","0.28%"
"2026-02-18","458.28","455.81","460.51","455.32","10.23M","2.25%"
"2026-02-17","448.20","450.26","451.37","445.53","10.98M","-3.12%"
"2026-02-13","462.62","459.73","463.84","456.25","12.36M","2.49%"
"2026-02-12","451.39","464.90","466.38","448.06","20.49M","-3.47%"
"2026-02-11","467.63","466.00","468.61","462.82","11.21M","1.13%"
"2026-02-10","462.40","465.96","466.75","459.52","7.86M","-0.99%"
"2026-02-09","467.03","461.39","467.56","460.85","12.33M","2.54%"
"2026-02-06","455.46","450.73","456.93","450.03","12.66M","3.07%"
"2026-02-05","441.88","444.29","450.90","440.35","17.72M","-2.66%"
"2026-02-04","453.97","462.47","463.10","445.71","24.43M","-0.07%"
"2026-02-03","454.29","452.63","459.00","448.31","28.70M","6.36%"
"2026-02-02","427.13","434.01","440.78","422.55","41.63M","-4.00%"
"2026-01-30","444.95","466.24","470.06","430.80","86.59M","-10.27%"
"2026-01-29","495.90","509.51","509.70","468.51","69.97M","0.27%"
"2026-01-28","494.56","483.39","495.88","481.25","44.15M","3.88%"
"2026-01-27","476.10","465.07","476.49","463.95","28.39M","2.45%"
"2026-01-26","464.70","466.78","469.28","460.36","34.16M","1.46%"
"2026-01-23","458.00","454.11","458.75","453.45","21.53M","1.37%"
"2026-01-22","451.79","443.84","452.98","443.56","19.25M","1.85%"
"2026-01-21","443.60","446.87","448.00","437.11","38.83M","1.46%"
"2026-01-20","437.23","436.69","438.14","434.10","21.31M","3.78%"
"2026-01-16","421.29","422.80","424.80","417.04","20.95M","-0.48%"
"2026-01-15","423.33","423.02","425.06","422.79","14.25M","-0.61%"
"2026-01-14","425.94","426.03","426.86","422.84","18.31M","1.02%"
"2026-01-13","421.63","424.59","426.12","420.07","16.68M","-0.14%"
"2026-01-12","422.23","421.52","425.74","421.52","20.90M","1.87%"
"2026-01-09","414.47","413.21","415.29","411.80","14.01M","0.72%"
"2026-01-08","411.49","406.96","411.64","406.40","8.71M","0.55%"
"2026-01-07","409.23","408.63","410.81","406.65","10.59M","-0.96%"
"2026-01-06","413.18","410.67","413.48","410.31","11.64M","1.08%"
"2026-01-05","408.76","406.39","409.72","406.15","13.41M","2.63%"
"2026-01-02","398.28","401.62","401.82","396.25","10.37M","0.50%"
"2025-12-31","396.31","398.60","400.13","395.59","10.19M","-0.65%"
"2025-12-30","398.89","403.60","403.80","398.56","10.18M","0.07%"
"2025-12-29","398.60","403.66","403.76","395.33","20.68M","-4.35%"
"2025-12-26","416.74","416.48","418.45","414.75","10.48M","1.17%"
"2025-12-25","411.93","412.25","411.93","411.93","6.72M","0.00%"
"2025-12-24","411.93","412.25","412.63","408.83","6.72M","-0.41%"
"2025-12-23","413.64","410.30","413.76","407.10","13.19M","1.33%"
"2025-12-22","408.23","406.98","408.52","405.72","14.20M","2.31%"
"2025-12-19","399.02","397.92","400.63","397.17","9.89M","0.11%"
"2025-12-18","398.57","398.28","402.21","396.05","11.84M","-0.18%"
"2025-12-17","399.29","398.08","399.98","397.25","10.46M","0.86%"
"2025-12-16","395.89","397.75","398.71","394.59","9.20M","0.02%"
"2025-12-15","395.80","397.76","398.71","394.07","11.35M","0.09%"
"2025-12-12","395.44","399.15","400.39","391.47","16.79M","0.56%"
"2025-12-11","393.24","389.02","394.09","388.50","11.24M","1.08%"
"2025-12-10","389.05","385.95","389.76","384.50","9.12M","0.43%"
"2025-12-09","387.40","385.62","388.21","385.27","6.36M","0.51%"
"2025-12-08","385.42","387.02","387.24","384.01","6.82M","-0.26%"
"2025-12-05","386.44","389.12","391.73","386.17","9.45M","-0.18%"
"2025-12-04","387.13","386.92","388.00","385.40","6.75M","0.06%"
"2025-12-03","386.88","388.46","390.13","385.83","7.89M","-0.09%"
"2025-12-02","387.24","388.87","388.98","382.91","8.10M","-0.64%"
"2025-12-01","389.75","390.61","390.70","388.06","11.18M","0.48%"
"2025-11-28","387.88","385.98","388.00","384.99","7.18M","1.24%"
"2025-11-26","383.12","381.05","383.77","380.46","9.18M","0.80%"
"2025-11-25","380.08","380.26","382.52","378.06","10.46M","-0.03%"
"2025-11-24","380.20","374.88","380.28","374.19","10.09M","1.58%"
"2025-11-21","374.27","374.02","377.23","372.94","13.19M","-0.15%"
"2025-11-20","374.85","375.29","377.69","371.85","10.51M","-0.03%"
"2025-11-19","374.96","377.77","380.17","373.03","10.98M","0.16%"
"2025-11-18","374.35","374.83","375.54","371.62","7.82M","0.73%"
"2025-11-17","371.65","374.04","375.46","368.52","13.30M","-1.15%"
"2025-11-14","375.96","372.87","378.20","370.89","15.20M","-1.80%"
"2025-11-13","382.87","387.29","388.18","381.21","15.87M","-0.81%"
"2025-11-12","385.99","380.07","387.46","379.44","16.20M","1.61%"
"2025-11-11","379.87","379.98","380.40","376.87","10.75M","0.39%"
"2025-11-10","378.38","375.93","378.66","374.78","13.46M","2.73%"
"2025-11-07","368.31","367.94","370.42","366.42","11.06M","0.61%"
"2025-11-06","366.07","367.16","368.18","364.70","6.89M","-0.12%"
"2025-11-05","366.51","366.39","367.10","364.65","8.36M","1.16%"
"2025-11-04","362.32","363.48","365.74","361.39","11.54M","-1.75%"
"2025-11-03","368.78","368.91","370.84","367.54","7.25M","0.18%"
"2025-10-31","368.12","370.47","370.66","365.50","11.08M","-0.54%"
"2025-10-30","370.13","365.09","370.36","364.50","14.81M","1.96%"
"2025-10-29","363.00","369.65","370.08","361.36","18.89M","-0.38%"
"2025-10-28","364.38","361.81","365.30","360.12","19.26M","-0.72%"
"2025-10-27","367.01","371.13","371.59","365.34","23.66M","-2.78%"
"2025-10-24","377.52","378.51","380.77","376.81","13.26M","-0.34%"
"2025-10-23","378.79","381.46","382.25","378.65","13.70M","0.40%"
"2025-10-22","377.28","372.75","378.47","368.93","30.52M","0.01%"
"2025-10-21","377.24","386.54","388.89","375.65","54.10M","-6.43%"
"2025-10-20","403.15","397.45","403.30","394.20","34.52M","3.64%"
"2025-10-17","388.99","397.14","397.28","385.22","62.02M","-1.88%"
"2025-10-16","396.45","391.15","396.87","390.40","33.62M","2.34%"
"2025-10-15","387.39","385.93","387.76","384.59","20.60M","1.73%"
"2025-10-14","380.79","378.21","382.38","377.90","18.41M","0.71%"
"2025-10-13","378.09","376.50","378.86","375.58","18.51M","2.43%"
"2025-10-10","369.12","367.54","370.31","365.44","24.19M","1.01%"
"2025-10-09","365.43","373.14","373.22","362.83","33.67M","-1.85%"
"2025-10-08","372.30","371.65","373.57","370.50","28.05M","1.65%"
"2025-10-07","366.26","366.51","367.27","364.55","16.84M","0.52%"
"2025-10-06","364.38","362.16","365.30","361.37","17.09M","1.88%"
"2025-10-03","357.64","357.12","358.14","355.80","14.46M","0.80%"
"2025-10-02","354.79","358.26","358.67","351.40","16.16M","-0.35%"
"2025-10-01","356.03","356.17","356.97","354.79","15.57M","0.16%"
"2025-09-30","355.47","351.13","355.57","350.86","13.31M","0.85%"
"2025-09-29","352.46","351.79","352.83","351.28","15.72M","1.65%"
"2025-09-26","346.74","345.83","348.25","345.31","11.70M","0.58%"
"2025-09-25","344.75","344.39","345.83","342.47","12.64M","0.42%"
"2025-09-24","343.32","346.70","346.83","342.14","12.71M","-0.91%"
"2025-09-23","346.46","348.23","348.75","345.32","18.38M","0.41%"
"2025-09-22","345.05","342.75","345.07","341.84","12.39M","1.73%"
"2025-09-19","339.18","336.51","339.23","336.31","14.98M","1.06%"
"2025-09-18","335.62","336.22","336.32","333.81","14.91M","-0.40%"
"2025-09-17","336.97","338.53","341.24","335.52","16.54M","-0.77%"
"2025-09-16","339.59","340.09","340.88","338.62","12.16M","0.20%"
"2025-09-15","338.91","336.31","339.28","336.23","10.57M","1.04%"
"2025-09-12","335.42","335.88","336.39","335.23","9.62M","0.20%"
"2025-09-11","334.76","333.37","335.16","332.97","9.08M","-0.15%"
"2025-09-10","335.26","335.73","336.50","326.19","11.95M","0.36%"
"2025-09-09","334.06","337.03","338.31","333.85","21.64M","-0.23%"
"2025-09-08","334.82","333.66","335.67","333.23","18.62M","1.14%"
"2025-09-05","331.05","329.53","331.44","328.93","16.07M","1.33%"
"2025-09-04","326.69","327.03","327.56","325.35","11.70M","-0.44%"
"2025-09-03","328.14","327.76","329.45","326.73","16.06M","0.78%"
"2025-09-02","325.59","320.82","325.92","320.24","21.25M","2.36%"
"2025-08-29","318.07","314.72","318.09","314.64","15.64M","0.96%"
"2025-08-28","315.03","313.32","315.08","313.07","9.61M","0.74%"
"2025-08-27","312.71","311.39","312.91","310.77","4.32M","0.20%"
"2025-08-26","312.08","310.62","312.21","310.30","11.70M","0.73%"
"2025-08-25","309.83","309.67","310.84","309.67","4.04M","-0.24%"
"2025-08-22","310.58","306.52","311.02","306.43","8.53M","1.07%"
"2025-08-21","307.29","307.86","308.15","307.03","4.81M","-0.35%"
"2025-08-20","308.36","307.54","308.47","307.40","6.52M","1.01%"
"2025-08-19","305.27","306.76","307.48","305.19","5.03M","-0.55%"
"2025-08-18","306.95","307.79","307.89","306.63","6.15M","-0.16%"
"2025-08-15","307.43","307.34","308.00","306.87","5.99M","0.06%"
"2025-08-14","307.25","307.92","308.34","306.52","5.82M","-0.63%"
"2025-08-13","309.21","309.10","310.39","308.45","4.72M","0.30%"
"2025-08-12","308.27","308.22","309.30","306.71","9.70M","-0.09%"
"2025-08-11","308.55","308.62","309.66","307.63","10.33M","-1.44%"
"2025-08-08","313.05","312.35","313.53","311.00","19.89M","-0.02%"
"2025-08-07","313.12","311.72","313.14","310.70","10.89M","0.84%"
"2025-08-06","310.50","310.32","311.24","309.84","7.42M","-0.21%"
"2025-08-05","311.16","310.37","312.24","310.22","7.00M","0.08%"
"2025-08-04","310.91","310.80","311.74","310.37","7.64M","0.58%"
"2025-08-01","309.11","308.61","309.55","307.45","12.84M","2.03%"
"2025-07-31","302.96","304.59","304.61","302.86","8.98M","0.66%"
"2025-07-30","300.96","304.42","304.65","300.95","13.46M","-1.73%"
"2025-07-29","306.25","305.80","307.03","304.98","5.74M","0.28%"
"2025-07-28","305.41","306.44","306.58","304.05","9.28M","-0.65%"
"2025-07-25","307.40","307.82","308.31","306.20","9.38M","-0.92%"
"2025-07-24","310.27","309.29","310.99","309.06","7.70M","-0.61%"
"2025-07-23","312.18","314.00","314.96","311.42","10.55M","-1.24%"
"2025-07-22","316.10","314.48","316.24","313.62","13.69M","0.95%"
"2025-07-21","313.13","311.88","313.31","311.61","11.00M","1.54%"
"2025-07-18","308.39","309.24","309.37","308.32","5.57M","0.26%"
"2025-07-17","307.59","305.50","307.67","305.12","6.64M","-0.22%"
"2025-07-16","308.26","307.11","311.09","305.73","17.69M","0.50%"
"2025-07-15","306.73","307.73","308.74","305.79","8.15M","-0.42%"
"2025-07-14","308.01","309.07","309.38","307.73","5.77M","-0.37%"
"2025-07-11","309.14","308.86","310.28","308.52","9.19M","0.96%"
"2025-07-10","306.20","306.11","306.51","304.82","7.06M","0.22%"
"2025-07-09","305.52","303.58","305.54","303.23","10.64M","0.45%"
"2025-07-08","304.16","306.30","306.45","302.77","11.84M","-1.04%"
"2025-07-07","307.37","305.07","307.70","304.53","7.35M","0.07%"
"2025-07-03","307.14","307.05","307.57","306.15","5.28M","-0.68%"
"2025-07-02","309.25","308.04","309.39","306.96","8.32M","0.55%"
"2025-07-01","307.55","308.55","309.00","307.36","9.34M","0.89%"
"2025-06-30","304.83","302.39","304.92","301.95","8.19M","1.20%"
"2025-06-27","301.22","300.03","302.36","299.89","13.30M","-1.81%"
"2025-06-26","306.78","305.77","307.28","304.86","6.79M","-0.11%"
"2025-06-25","307.12","305.31","307.36","305.12","6.73M","0.30%"
"2025-06-24","306.19","305.07","306.34","303.54","12.04M","-1.57%"
"2025-06-23","311.08","310.34","312.67","310.31","12.69M","0.31%"
"2025-06-20","310.13","309.33","310.89","309.25","8.79M","-0.04%"
"2025-06-18","310.26","312.89","312.98","309.86","9.37M","-0.54%"
"2025-06-17","311.94","312.66","313.00","310.12","8.23M","0.05%"
"2025-06-16","311.78","314.80","314.87","311.65","12.85M","-1.43%"
"2025-06-13","316.29","317.26","317.60","315.04","16.59M","1.31%"
"2025-06-12","312.20","311.74","313.10","311.15","11.53M","1.24%"
"2025-06-11","308.37","307.50","308.61","305.85","9.25M","0.54%"
"2025-06-10","306.71","308.31","308.60","305.87","7.07M","0.03%"
"2025-06-09","306.62","305.39","307.61","305.06","7.16M","0.47%"
"2025-06-06","305.18","309.09","309.20","305.10","7.79M","-1.34%"
"2025-06-05","309.33","311.24","312.20","307.65","10.86M","-0.50%"
"2025-06-04","310.90","309.41","311.88","308.74","7.46M","0.64%"
"2025-06-03","308.91","309.56","309.56","307.15","9.32M","-0.89%"
"2025-06-02","311.67","309.21","311.72","308.72","13.59M","2.66%"
"2025-05-30","303.60","303.64","304.02","301.50","9.55M","-0.66%"
"2025-05-29","305.61","305.74","306.89","304.46","9.50M","0.59%"
"2025-05-28","303.81","304.64","304.99","303.06","8.80M","-0.23%"
"2025-05-27","304.50","303.81","304.88","302.74","9.58M","-1.69%"
"2025-05-23","309.75","308.86","310.25","307.47","13.34M","2.19%"
"2025-05-22","303.11","305.09","305.28","302.10","9.70M","-0.89%"
"2025-05-21","305.82","304.55","306.46","303.67","12.41M","0.74%"
"2025-05-20","303.58","298.35","303.68","298.30","12.85M","1.86%"
"2025-05-19","298.03","297.85","298.58","296.48","11.66M","1.29%"
"2025-05-16","294.24","292.62","294.58","291.78","14.17M","-1.21%"
"2025-05-15","297.84","294.10","297.90","293.75","13.50M","1.60%"
"2025-05-14","293.16","293.67","294.80","291.96","14.80M","-2.10%"
"2025-05-13","299.46","299.02","300.30","297.24","10.23M","0.43%"
"2025-05-12","298.19","298.33","299.47","296.82","14.38M","-2.82%"
"2025-05-09","306.84","307.79","308.57","306.01","6.91M","0.73%"
"2025-05-08","304.63","309.76","310.48","303.05","11.93M","-1.97%"
"2025-05-07","310.75","312.10","313.26","310.08","7.91M","-1.50%"
"2025-05-06","315.48","313.12","315.62","311.40","11.45M","2.80%"
"2025-05-05","306.88","305.92","307.65","304.67","8.92M","2.99%"
"2025-05-02","297.98","300.17","300.85","297.03","8.68M","0.17%"
"2025-05-01","297.46","297.41","297.94","295.32","14.97M","-2.08%"
"2025-04-30","303.77","304.61","306.07","303.44","8.33M","-0.75%"
"2025-04-29","306.06","305.81","306.95","304.00","6.85M","-0.97%"
"2025-04-28","309.07","304.15","309.11","302.97","9.38M","1.42%"
"2025-04-25","304.73","301.78","305.37","301.01","10.69M","-1.08%"
"2025-04-24","308.07","306.98","308.49","304.71","10.84M","1.46%"
"2025-04-23","303.65","304.18","304.74","300.59","25.42M","-2.40%"
"2025-04-22","311.11","317.49","317.63","310.36","35.24M","-1.42%"
"2025-04-21","315.59","315.02","316.41","313.95","20.37M","3.09%"
"2025-04-17","306.12","306.31","307.13","302.73","18.29M","-0.44%"
"2025-04-16","307.47","304.65","308.06","303.80","20.78M","3.25%"
"2025-04-15","297.78","296.93","298.02","296.09","7.92M","0.52%"
"2025-04-14","296.23","295.54","296.58","294.53","12.43M","-0.57%"
"2025-04-11","297.93","297.96","299.27","296.81","21.08M","1.91%"
"2025-04-10","292.35","288.80","292.86","287.23","19.84M","2.44%"
"2025-04-09","285.38","282.22","285.87","281.04","25.34M","3.70%"
"2025-04-08","275.20","277.87","278.32","274.24","12.64M","0.54%"
"2025-04-07","273.71","278.86","280.14","272.58","19.81M","-2.15%"
"2025-04-04","279.72","283.64","284.03","278.02","21.52M","-2.34%"
"2025-04-03","286.42","282.78","289.09","282.45","20.52M","-0.60%"
"2025-04-02","288.16","288.28","289.03","287.36","11.07M","0.21%"
"2025-04-01","287.57","288.54","289.13","285.91","15.92M","-0.20%"
"2025-03-31","288.14","287.53","288.39","285.85","13.93M","1.44%"
"2025-03-28","284.06","283.82","284.64","282.86","9.56M","0.74%"
"2025-03-27","281.97","280.55","282.07","279.59","8.48M","1.34%"
"2025-03-26","278.24","278.93","279.02","277.78","3.74M","-0.08%"
"2025-03-25","278.47","278.78","279.96","278.27","5.09M","0.44%"
"2025-03-24","277.25","278.91","279.09","276.86","7.87M","-0.45%"
"2025-03-21","278.49","279.46","279.46","276.59","9.36M","-0.80%"
"2025-03-20","280.75","279.49","280.90","279.43","5.86M","-0.13%"
"2025-03-19","281.11","279.85","281.48","279.06","8.82M","0.41%"
"2025-03-18","279.96","279.90","280.21","278.97","9.60M","1.17%"
"2025-03-17","276.73","275.54","276.79","275.39","8.58M","0.54%"
"2025-03-14","275.24","276.27","276.30","274.66","13.36M","0.04%"
"2025-03-13","275.13","271.57","275.35","271.55","13.74M","1.78%"
"2025-03-12","270.33","268.47","271.23","268.36","7.24M","0.43%"
"2025-03-11","269.16","268.47","269.73","268.44","8.44M","1.17%"
"2025-03-10","266.04","267.62","268.44","265.64","7.59M","-0.88%"
"2025-03-07","268.39","269.09","270.34","267.64","10.43M","0.05%"
"2025-03-06","268.25","268.25","269.51","268.16","6.14M","-0.51%"
"2025-03-05","269.62","267.97","270.26","267.96","6.99M","0.21%"
"2025-03-04","269.06","269.01","269.40","267.52","8.48M","0.87%"
"2025-03-03","266.74","265.07","266.88","265.07","7.73M","1.32%"
"2025-02-28","263.27","262.55","263.40","261.25","11.50M","-0.63%"
"2025-02-27","264.93","266.49","266.67","264.45","9.37M","-1.52%"
